Video ID,Comment,Original_Emotion,Sentiment,Ratio
NaNVk_YvcDk,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,슬픔,Negative,0.47
mr2s1YtSrac,하윤님은 언제나 사랑입니다?,행복,Positive,0.2
mr2s1YtSrac,밍트융님 넘 좋아요. 화기애애하고 좋네요. 밍트융님이 행복할때는 제주도가서 김밥 먹을때 같아요. ,행복,Positive,0.33
zDjKux-Td3U,우와..노랑윤이군요 ??뽑아윤 무물타임 새로생겼군요. ??,슬픔,Negative,
zDjKux-Td3U,하윤님은 언제나 사랑입니다?,행복,Positive,
zDjKux-Td3U,유익한 정보 감사합니다.,행복,Positive,
zDjKux-Td3U,하반기 채용공고 언제 올라와요? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,중립,Neutral,
zDjKux-Td3U,채용담당자분 볼지모르겠지만 올해 채용 없나요 답답해서 댓글 남겨봅니다 ??,중립,Neutral,
ZRAymXHuftM,"대한민국에서 가장 비싼땅이
울집이다...",슬픔,Negative,
P2LUlC0V3FY,예쁘당?,공포,Negative,
P2LUlC0V3FY,꺅...lx센스 어쩔거얍...밍트융님도 즐거운 추석되세요.,공포,Negative,
P2LUlC0V3FY,하윤님은 언제나 사랑입니다?,행복,Positive,
5jh8CWU3FMQ,??이벤트 자세한 내용은 커뮤니티 게시판에서 확인하세요~??,공포,Negative,
5jh8CWU3FMQ,"고: 고요한 바다와 
흥: 흥미로운 숲이 어우러진 곳 고흥에서 힐링하세요!",공포,Negative,
5jh8CWU3FMQ,"고: 고흥을 가면~
흥: 흥이나 고흥 가즈아~",슬픔,Negative,
5jh8CWU3FMQ,"고민할 필요 있겠는가? 
흥이 절로나는 고흥으로 떠나보세??",공포,Negative,
5jh8CWU3FMQ,"고 고흥으로 먹고 즐기러 
흥 흥나게 여행가자",공포,Negative,
5jh8CWU3FMQ,"고기 먹여줄게 / 
흥분하지마",중립,Neutral,
5jh8CWU3FMQ,"고 고퀄리티 지역인 고흥에서 
흥 흥나는 인생 삽시다!",공포,Negative,
5jh8CWU3FMQ,"고: 고풍스러운 전통이 살아 숨 쉬고 
흥: 흥미로운 관광지가 가득한 곳??",공포,Negative,
